TD_IsTrainRow,serial_num,target_cat,target_num,sepal_length,sepal_width,petal_length,petal_width
1,2,setosa,0,4.9e+00,3e+00,1.4e+00,2e-01
1,131,virginica,2,7.4e+00,2.8e+00,6.1e+00,1.9e+00
1,76,versicolor,1,6.6e+00,3e+00,4.4e+00,1.4e+00
1,15,setosa,0,5.8e+00,4e+00,1.2e+00,2e-01
1,26,setosa,0,5e+00,3e+00,1.6e+00,2e-01
1,74,versicolor,1,6.1e+00,2.8e+00,4.7e+00,1.2e+00
1,104,virginica,2,6.3e+00,2.9e+00,5.6e+00,1.8e+00
1,32,setosa,0,5.4e+00,3.4e+00,1.5e+00,4e-01
1,44,setosa,0,5e+00,3.5e+00,1.6e+00,6e-01
1,97,versicolor,1,5.7e+00,2.9e+00,4.2e+00,1.3e+00
1,40,setosa,0,5.1e+00,3.4e+00,1.5e+00,2e-01
1,55,versicolor,1,6.5e+00,2.8e+00,4.6e+00,1.5e+00
1,90,versicolor,1,5.5e+00,2.5e+00,4e+00,1.3e+00
1,100,versicolor,1,5.7e+00,2.8e+00,4.1e+00,1.3e+00
1,34,setosa,0,5.5e+00,4.2e+00,1.4e+00,2e-01
1,128,virginica,2,6.1e+00,3e+00,4.9e+00,1.8e+00
1,49,setosa,0,5.3e+00,3.7e+00,1.5e+00,2e-01
1,102,virginica,2,5.8e+00,2.7e+00,5.1e+00,1.9e+00
1,50,setosa,0,5e+00,3.3e+00,1.4e+00,2e-01
1,140,virginica,2,6.9e+00,3.1e+00,5.4e+00,2.1e+00
1,48,setosa,0,4.6e+00,3.2e+00,1.4e+00,2e-01
1,123,virginica,2,7.7e+00,2.8e+00,6.7e+00,2e+00
1,113,virginica,2,6.8e+00,3e+00,5.5e+00,2.1e+00
1,67,versicolor,1,5.6e+00,3e+00,4.5e+00,1.5e+00
1,150,virginica,2,5.9e+00,3e+00,5.1e+00,1.8e+00
1,132,virginica,2,7.9e+00,3.8e+00,6.4e+00,2e+00
1,84,versicolor,1,6e+00,2.7e+00,5.1e+00,1.6e+00
1,77,versicolor,1,6.8e+00,2.8e+00,4.8e+00,1.4e+00
1,66,versicolor,1,6.7e+00,3.1e+00,4.4e+00,1.4e+00
1,78,versicolor,1,6.7e+00,3e+00,5e+00,1.7e+00
1,18,setosa,0,5.1e+00,3.5e+00,1.4e+00,3e-01
1,12,setosa,0,4.8e+00,3.4e+00,1.6e+00,2e-01
1,37,setosa,0,5.5e+00,3.5e+00,1.3e+00,2e-01
1,20,setosa,0,5.1e+00,3.8e+00,1.5e+00,3e-01
1,23,setosa,0,4.6e+00,3.6e+00,1e+00,2e-01
1,129,virginica,2,6.4e+00,2.8e+00,5.6e+00,2.1e+00
1,65,versicolor,1,5.6e+00,2.9e+00,3.6e+00,1.3e+00
1,139,virginica,2,6e+00,3e+00,4.8e+00,1.8e+00
1,60,versicolor,1,5.2e+00,2.7e+00,3.9e+00,1.4e+00
1,121,virginica,2,6.9e+00,3.2e+00,5.7e+00,2.3e+00
1,122,virginica,2,5.6e+00,2.8e+00,4.9e+00,2e+00
1,11,setosa,0,5.4e+00,3.7e+00,1.5e+00,2e-01
1,109,virginica,2,6.7e+00,2.5e+00,5.8e+00,1.8e+00
1,13,setosa,0,4.8e+00,3e+00,1.4e+00,1e-01
1,27,setosa,0,5e+00,3.4e+00,1.6e+00,4e-01
1,24,setosa,0,5.1e+00,3.3e+00,1.7e+00,5e-01
1,6,setosa,0,5.4e+00,3.9e+00,1.7e+00,4e-01
1,118,virginica,2,7.7e+00,3.8e+00,6.7e+00,2.2e+00
1,148,virginica,2,6.5e+00,3e+00,5.2e+00,2e+00
1,89,versicolor,1,5.6e+00,3e+00,4.1e+00,1.3e+00
1,126,virginica,2,7.2e+00,3.2e+00,6e+00,1.8e+00
1,45,setosa,0,5.1e+00,3.8e+00,1.9e+00,4e-01
1,16,setosa,0,5.7e+00,4.4e+00,1.5e+00,4e-01
1,71,versicolor,1,5.9e+00,3.2e+00,4.8e+00,1.8e+00
1,29,setosa,0,5.2e+00,3.4e+00,1.4e+00,2e-01
1,72,versicolor,1,6.1e+00,2.8e+00,4e+00,1.3e+00
1,47,setosa,0,5.1e+00,3.8e+00,1.6e+00,2e-01
1,41,setosa,0,5e+00,3.5e+00,1.3e+00,3e-01
1,57,versicolor,1,6.3e+00,3.3e+00,4.7e+00,1.6e+00
1,30,setosa,0,4.7e+00,3.2e+00,1.6e+00,2e-01
1,54,versicolor,1,5.5e+00,2.3e+00,4e+00,1.3e+00
1,115,virginica,2,5.8e+00,2.8e+00,5.1e+00,2.4e+00
1,87,versicolor,1,6.7e+00,3.1e+00,4.7e+00,1.5e+00
1,146,virginica,2,6.7e+00,3e+00,5.2e+00,2.3e+00
1,112,virginica,2,6.4e+00,2.7e+00,5.3e+00,1.9e+00
1,119,virginica,2,7.7e+00,2.6e+00,6.9e+00,2.3e+00
1,81,versicolor,1,5.5e+00,2.4e+00,3.8e+00,1.1e+00
1,42,setosa,0,4.5e+00,2.3e+00,1.3e+00,3e-01
1,3,setosa,0,4.7e+00,3.2e+00,1.3e+00,2e-01
1,142,virginica,2,6.9e+00,3.1e+00,5.1e+00,2.3e+00
1,38,setosa,0,4.9e+00,3.6e+00,1.4e+00,1e-01
1,79,versicolor,1,6e+00,2.9e+00,4.5e+00,1.5e+00
1,28,setosa,0,5.2e+00,3.5e+00,1.5e+00,2e-01
1,107,virginica,2,4.9e+00,2.5e+00,4.5e+00,1.7e+00
1,120,virginica,2,6e+00,2.2e+00,5e+00,1.5e+00
1,5,setosa,0,5e+00,3.6e+00,1.4e+00,2e-01
1,1,setosa,0,5.1e+00,3.5e+00,1.4e+00,2e-01
1,51,versicolor,1,7e+00,3.2e+00,4.7e+00,1.4e+00
1,80,versicolor,1,5.7e+00,2.6e+00,3.5e+00,1e+00
1,147,virginica,2,6.3e+00,2.5e+00,5e+00,1.9e+00
1,21,setosa,0,5.4e+00,3.4e+00,1.7e+00,2e-01
1,53,versicolor,1,6.9e+00,3.1e+00,4.9e+00,1.5e+00
1,69,versicolor,1,6.2e+00,2.2e+00,4.5e+00,1.5e+00
1,88,versicolor,1,6.3e+00,2.3e+00,4.4e+00,1.3e+00
1,127,virginica,2,6.2e+00,2.8e+00,4.8e+00,1.8e+00
1,110,virginica,2,7.2e+00,3.6e+00,6.1e+00,2.5e+00
1,19,setosa,0,5.7e+00,3.8e+00,1.7e+00,3e-01
1,56,versicolor,1,5.7e+00,2.8e+00,4.5e+00,1.3e+00
1,31,setosa,0,4.8e+00,3.1e+00,1.6e+00,2e-01
1,85,versicolor,1,5.4e+00,3e+00,4.5e+00,1.5e+00
1,114,virginica,2,5.7e+00,2.5e+00,5e+00,2e+00
1,96,versicolor,1,5.7e+00,3e+00,4.2e+00,1.2e+00
1,63,versicolor,1,6e+00,2.2e+00,4e+00,1e+00
1,99,versicolor,1,5.1e+00,2.5e+00,3e+00,1.1e+00
1,136,virginica,2,7.7e+00,3e+00,6.1e+00,2.3e+00
1,7,setosa,0,4.6e+00,3.4e+00,1.4e+00,3e-01
1,9,setosa,0,4.4e+00,2.9e+00,1.4e+00,2e-01
1,68,versicolor,1,5.8e+00,2.7e+00,4.1e+00,1e+00
1,101,virginica,2,6.3e+00,3.3e+00,6e+00,2.5e+00
1,103,virginica,2,7.1e+00,3e+00,5.9e+00,2.1e+00
1,4,setosa,0,4.6e+00,3.1e+00,1.5e+00,2e-01
1,61,versicolor,1,5e+00,2e+00,3.5e+00,1e+00
1,124,virginica,2,6.3e+00,2.7e+00,4.9e+00,1.8e+00
1,134,virginica,2,6.3e+00,2.8e+00,5.1e+00,1.5e+00
1,46,setosa,0,4.8e+00,3e+00,1.4e+00,3e-01
1,73,versicolor,1,6.3e+00,2.5e+00,4.9e+00,1.5e+00
1,62,versicolor,1,5.9e+00,3e+00,4.2e+00,1.5e+00
1,141,virginica,2,6.7e+00,3.1e+00,5.6e+00,2.4e+00
1,14,setosa,0,4.3e+00,3e+00,1.1e+00,1e-01
1,145,virginica,2,6.7e+00,3.3e+00,5.7e+00,2.5e+00
1,93,versicolor,1,5.8e+00,2.6e+00,4e+00,1.2e+00
1,135,virginica,2,6.1e+00,2.6e+00,5.6e+00,1.4e+00
1,86,versicolor,1,6e+00,3.4e+00,4.5e+00,1.6e+00
